mt_id,project_asv_id,project_sample_id,image_id,class,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,db_id,institution_code,ncbi_species,ncbi_id_rank,ncbi_taxid,locality,subregion,country,latitude,longitude,authors,genbank_accession,contigname,run_id,mmg_library_id,projectname,chimera_notes,variant_status,metadata_source,specimen_id,morphospecies,lowest_taxon,taxonomy_notes,collection_method,collection_method_category,collection_method_notes,plotid,province_state_territory,habitat
BIOD00001,6KP2253,CH_FIT2_P1_Adult_756_A02_1427008_Elateridae,CH_Elat1,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Pyrophorini,,,,,NA,NA,BMNH,NA,NA,NA,Cerro Hoya,NA,Panama,NA,NA,,,,NA,,,,,,1427008,CH_Elat1,Elateridae,,FIT,Passive,FIT2,P1,NA,
BIOD00010,6KP552,CH_MALAISE1_P1_Adult_761_B06_1687195_Elateridae,CH_Elat8_Dorsal,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,,,,NA,NA,BMNH,NA,NA,NA,Cerro Hoya,NA,Panama,NA,NA,,,,NA,,,,,,1687195,CH_Elat8,Elateridae,,Malaise,Passive,Malaise1,P1,NHMUK1723022,
BIOD00016,6KP1535,MS214,MS214,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Agrypnini,,Adelocera,,,NA,NA,BMNH,NA,NA,NA,Poring,NA,Malaysia,NA,NA,,,,NA,,,,,,1723143,MS214,Agrypninae,"genus was ""Agraeus|Adelocera""",Beating,Active,,PB,NA,
BIOD00057,6KP96,CH_FIT2_P1_Adult_755_H10_1427004_Elateridae,CH_Elat4_Dorsal,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,BMNH,NA,NA,NA,Cerro Hoya,NA,Panama,NA,NA,,,,NA,,,,,,1427004,CH_Elat4,Elateridae,,FIT,Passive,FIT2,P1,ENQ1880,
BIOD00121,6KP1671,MS530,MS530,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Megapenthini,,,,,NA,NA,BMNH,NA,NA,NA,Poring,NA,Malaysia,NA,NA,,,,NA,,,,,,1723459,MS530,Elateridae,,Beating,Active,,PA,MS1397,
BIOD00180,6KP2330,FG_LL_P7_Adult_732_E06_1425720_Elateridae,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,BMNH,NA,NA,NA,Noragues,NA,French Guiana,NA,NA,,,,NA,,,,,,1425720,FG_45,Elateridae,,Leaf_Litter,Active,,P7,NA,
BIOD00225,6KP1863,MS741,MS741,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Agrypnini,,Adelocera,,,NA,NA,BMNH,NA,NA,NA,Poring,NA,Malaysia,NA,NA,,,,NA,,,,,,1723670,MS741,Agrypninae,,Beating,Active,,PC,Sabah,
BIOD00254,6KP1136,MS210,MS210,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Synaptini,,,,,NA,NA,BMNH,NA,NA,NA,Poring,NA,Malaysia,NA,NA,,,,NA,,,,,,1723139,MS210,Elateridae,,Beating,Active,,PB,Sabah,
BIOD00272,6KP861,CH_MALAISE2_P1_Adult_768_F05_1721742_Elateridae,CH_Elat22_Dorsal,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,,,,NA,NA,BMNH,NA,NA,NA,Cerro Hoya,NA,Panama,NA,NA,,,,NA,,,,,,1721742,CH_Elat22,Elateridae,,Malaise,Passive,Malaise2,P1,,
BIOD00274,6KP4049,FG_FIT1_P5_Adult_771_F04_1274941_Elateridae,,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,,,,,,,NA,NA,BMNH,NA,NA,NA,Noragues,NA,French Guiana,NA,NA,,,,NA,,,,,,1274941,P5FIT1Elat1,Elateridae,,FIT,Passive,FIT1,P5,,
