processid,class,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,country,realm,label
BIOD00001,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Agrypninae,Pyrophorini,NA,NA,NA,NA,NA,Panama,Panamanian,BIOD00001_Elateridae_Agrypninae_Pyrophorini_NA_Panama
GBDL00576,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Adrastini,NA,Adrastus,NA,Adrastus rachifer,NA,NA,NA,GBDL00576_Elateridae_Elaterinae_Adrastini_Adrastus_rachifer_NA
GBDL00530,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,NA,Agriotes obscurus,NA,United Kingdom,Palearctic,GBDL00530_Elateridae_Elaterinae_Agriotini_Agriotes_obscurus_United_Kingdom
GBDL02854,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,NA,Agriotes fuscicollis,NA,China,Palearctic,GBDL02854_Elateridae_Elaterinae_Agriotini_Agriotes_fuscicollis_China
GBDL03111,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,NA,Agriotes lineatus,NA,NA,NA,GBDL03111_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_NA
GBDL03112,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,NA,Agriotes hirayamai,NA,China,Palearctic,GBDL03112_Elateridae_Elaterinae_Agriotini_Agriotes_hirayamai_China
GBDL03226,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,NA,Agriotes sp. GTI-106,NA,China,Palearctic,GBDL03226_Elateridae_Elaterinae_Agriotini_Agriotes_sp._GTI-106_China
GBDL03285,Insecta,Coleoptera,Polyphaga,Elateriformia,Elateroidea,Elateridae,Elaterinae,Agriotini,Agriotina,Agriotes,NA,Agriotes sp. GTI-28,NA,China,Palearctic,GBDL03285_Elateridae_Elaterinae_Agriotini_Agriotes_sp._GTI-28_China
AGRID005-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes brevis,NA,Croatia,Palearctic,AGRID005-10_Elateridae_Elaterinae_Agriotini_Agriotes_brevis_Croatia
AGRID011-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes lineatus,NA,United Kingdom,Palearctic,AGRID011-10_Elateridae_Elaterinae_Agriotini_Agriotes_lineatus_United_Kingdom
AGRID012-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes litigiosus,NA,Italy,Palearctic,AGRID012-10_Elateridae_Elaterinae_Agriotini_Agriotes_litigiosus_Italy
AGRID020-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes proximus,NA,Portugal,Palearctic,AGRID020-10_Elateridae_Elaterinae_Agriotini_Agriotes_proximus_Portugal
AGRID021-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes rufipalpis,NA,Bulgaria,Palearctic,AGRID021-10_Elateridae_Elaterinae_Agriotini_Agriotes_rufipalpis_Bulgaria
AGRID022-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes sordidus,NA,Italy,Palearctic,AGRID022-10_Elateridae_Elaterinae_Agriotini_Agriotes_sordidus_Italy
AGRID043-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes aequalis,NA,Italy,Palearctic,AGRID043-10_Elateridae_Elaterinae_Agriotini_Agriotes_aequalis_Italy
AGRID048-10,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes paludum,NA,Turkiye,Palearctic,AGRID048-10_Elateridae_Elaterinae_Agriotini_Agriotes_paludum_Turkiye
ASDBC082-11,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes mancus,NA,Canada,Nearctic,ASDBC082-11_Elateridae_Elaterinae_Agriotini_Agriotes_mancus_Canada
ASSCR6596-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Agriotes,NA,Agriotes acutus,NA,Costa Rica,Panamanian,ASSCR6596-12_Elateridae_Elaterinae_Agriotini_Agriotes_acutus_Costa_Rica
ASSCR6641-12,Insecta,Coleoptera,NA,NA,NA,Elateridae,Elaterinae,Agriotini,NA,Cardiorhinus,NA,Cardiorhinus binotatusAS1,NA,Costa Rica,Panamanian,ASSCR6641-12_Elateridae_Elaterinae_Agriotini_Cardiorhinus_binotatusAS1_Costa_Rica
